s_vals,cl1,cl2,cl3
0,0.5,0.375,0.5
1,0.4375,0.375,0.4375
2,0.4166666666666667,0.4166666666666667,0.4583333333333333
4,0.4375,0.40625,0.46875
8,0.425,0.35,0.425
16,0.4166666666666667,0.3541666666666667,0.3958333333333333
32,0.4107142857142857,0.39285714285714285,0.39285714285714285
64,0.421875,0.40625,0.40625
128,0.4027777777777778,0.375,0.4166666666666667
256,0.425,0.3625,0.425
512,0.4772727272727273,0.3522727272727273,0.4318181818181818
1024,0.5104166666666666,0.3645833333333333,0.4166666666666667
2048,0.5288461538461539,0.40384615384615385,0.41346153846153844
4096,0.5625,0.4375,0.44642857142857145
8192,0.5916666666666667,0.4666666666666667,0.475
16384,0.6171875,0.46875,0.5078125
32768,0.6397058823529411,0.5,0.5294117647058824
