s_vals,cl1,cl2,cl3
0,0.390625,0.38671875,0.380859375
1,0.380859375,0.37109375,0.3818359375
2,0.3743489583333333,0.3756510416666667,0.373046875
4,0.375,0.3818359375,0.3837890625
8,0.3765625,0.390625,0.385546875
16,0.3766276041666667,0.3935546875,0.3831380208333333
32,0.37723214285714285,0.3959263392857143,0.37862723214285715
64,0.3828125,0.4033203125,0.378662109375
128,0.3904079861111111,0.4092881944444444,0.3804253472222222
256,0.4193359375,0.433984375,0.3810546875
512,0.4588068181818182,0.4689275568181818,0.3810369318181818
1024,0.4890950520833333,0.498046875,0.3800455729166667
2048,0.49594350961538464,0.505859375,0.3772536057692308
4096,0.5304129464285714,0.5386439732142857,0.3793247767857143
8192,0.5615885416666667,0.5694010416666667,0.3802083333333333
16384,0.5889892578125,0.5963134765625,0.3809814453125
32768,0.6131663602941176,0.6200597426470589,0.3785615808823529
